SCHL	fod1p	_TYPE_	_FREQ_	p50adj_wagp	p25adj_wagp	p75adj_wagp	mean_grad_degree	mean_grad_degree_all	mean_employed	pct_ts	pct_tsg	dboost	boost	pct_ts_all	pct_tsg_all	gths_mean	gthsftfy_mean	gmajor
Bachelors	Journalism	7	8089	52428.57143	36103.9975	81788.57143	0	0	0.945011729	0.010854502	0.217129042			0.010969226	0.215367566	0.74576573	0.790126687	Communications and journalism
Bachelors	Advertising and Public Relations	7	3792	51811.76471	36560.72106	78000	0	0	0.936035753	0.005095946	0.101937224			0.005144776	0.101011487	0.759261938	0.796053201	Communications and journalism
Bachelors	Computer and Information Systems	7	6631	66018.73829	46419.42536	91000	0	0	0.951146475	0.009354442	0.153034227			0.008566266	0.149324812	0.857006192	0.885984638	"Computers, statistics, and mathematics"
Bachelors	Computer Science	7	19371	80000	52428.57143	107592.9791	0	0	0.952562213	0.027509087	0.450035581			0.025313148	0.441251918	0.874064851	0.907351121	"Computers, statistics, and mathematics"
Bachelors	Information Sciences	7	2070	69987.66603	49282.85714	95000	0	0	0.951877192	0.002784933	0.045560187			0.002556442	0.044563206	0.875846373	0.920669293	"Computers, statistics, and mathematics"
Bachelors	Computer Engineering	7	3972	83567.36243	61630.92979	110000	0	0	0.948854415	0.005411292	0.088526167			0.004994414	0.08706127	0.883302917	0.926955884	"Computers, statistics, and mathematics"
Bachelors	Miscellaneous Computer	7	4183	56734.85322	38800	82523.42286	0	0	0.931379363	0.005726639	0.093685089			0.005635646	0.098239046	0.778605797	0.822056546	"Computers, statistics, and mathematics"
Bachelors	Mathematics	7	7116	68081.82386	43000	103154.2786	0	0	0.951941532	0.009174144	0.150084635			0.009151052	0.159518655	0.799325593	0.858153632	"Computers, statistics, and mathematics"
Bachelors	Applied Mathematics	7	420	76000	50000	109682.1632	0	0	0.951554703	0.000533943	0.008735053			0.000529262	0.009225943	0.820482281	0.916201117	"Computers, statistics, and mathematics"
Bachelors	Statistics and Decision Science	7	468	72351.42857	45000	104857.1429	0	0	0.941700052	0.00063199	0.010339061			0.000620429	0.010815151	0.80320469	0.889965114	"Computers, statistics, and mathematics"
Bachelors	General Education	7	16439	43324.797	32000	57671.42857	0	0	0.958797852	0.025415426	0.310830316			0.027360429	0.293737743	0.710655828	0.734013141	Education
Bachelors	Elementary Education	7	19744	41261.71143	31457.14286	51577.13929	0	0	0.964568182	0.022719876	0.277863782			0.027846318	0.298954183	0.670025852	0.717301907	Education
Bachelors	Mathematics Teacher Education	7	1084	45717.71429	36103.9975	60000	0	0	0.966100997	0.001287637	0.015747777			0.001503303	0.016139254	0.758465663	0.809908948	Education
Bachelors	Physical and Health Education Teaching	7	5026	48000	35000	65000	0	0	0.961538165	0.00609407	0.074530393			0.006544304	0.07025873	0.730333885	0.770434168	Education
Bachelors	Early Childhood Education	7	2625	37135.54029	28311.42857	47185.71429	0	0	0.955418359	0.003353517	0.04101347			0.004074265	0.043740739	0.604874015	0.61203906	Education
Bachelors	Science and Computer Teacher Education	7	910	45600	34866.14616	60000	0	0	0.958191742	0.001048432	0.01282231			0.00117131	0.012575016	0.750405844	0.785588817	Education
Bachelors	Secondary Teacher Education	7	3201	46316.27108	35516.12903	61892.56715	0	0	0.958799328	0.003829099	0.046829825			0.004131268	0.044352715	0.743272382	0.795586716	Education
Bachelors	Special Needs Education	7	2767	43872.86528	35000	54318.78558	0	0	0.958090391	0.003332533	0.040756834			0.003951186	0.042419377	0.733146067	0.794179571	Education
